gene_name,log 2 FC,orginial p,adjusted p
TUSC3,-4.3399288812156565,1.3058124694800136e-32,0.0
RTKN,-2.2488358164926665,1.395831328886912e-32,0.0
SLITRK2,-2.355719453377089,1.891435821117524e-32,0.0
PON2,2.1310607417611123,2.33007052741103e-32,0.0
MT1X,3.408607448248313,3.129271751722499e-32,0.0
CAPZA2,1.7026116144203116,3.726090311258867e-32,0.0
AMPH,-4.596209526865238,3.8418810906182794e-32,0.0
RPS19,1.5350043584112816,4.151934059354948e-32,0.0
PER3,-2.5525809770129437,4.458300077373989e-32,0.0
TCEAL6,-3.6811818137085486,5.297552088014318e-32,0.0
STEAP3,4.4325636245545805,5.621530919514193e-32,0.0
POLR2J,1.75566931360922,5.810623840182014e-32,0.0
MCF2L,-2.9099504497154234,6.161633775751524e-32,0.0
STMN1,-1.7428171262179837,6.192260023256716e-32,0.0
CHADL,-4.482322603600313,6.443466370554853e-32,0.0
LINGO3,-2.9910671887679303,6.597101604979847e-32,0.0
CSTB,1.9220307066578257,6.961757840835938e-32,0.0
FZD9,-4.852190206506693,1.004105312274429e-31,0.0
NIPSNAP2,2.135212367887731,1.2280344446755176e-31,0.0
IFI44L,4.242988064189514,1.3177555447977467e-31,0.0
RPLP0,1.6296253491823451,1.885078644092524e-31,0.0
TAGLN3,-5.083147377435397,2.20472660866891e-31,0.0
VCAN,-2.66005162858208,2.236645246442404e-31,0.0
HLA-E,2.64216052506541,2.2639087904570587e-31,0.0
SREBF2,-2.443371531480336,2.8187590829218143e-31,0.0
COL9A1,-4.559204461575468,3.0827453172652314e-31,0.0
PLPP4,-5.195260814645834,3.1504005910589628e-31,0.0
ELFN2,-2.0377696110972536,3.301413455763598e-31,0.0
TEK,-3.9517982132447322,3.314571846809155e-31,0.0
PPP1R14A,-5.467149978106767,3.525739612860812e-31,0.0
ARPC1B,4.1956794107407305,3.5412122895780736e-31,0.0
GNG7,-2.9315181217006447,3.917329905985586e-31,0.0
CD63,1.7236654440282773,4.3990564670204675e-31,0.0
TMEM163,-4.145345141003945,5.633090036352072e-31,0.0
CMTM5,-2.370493659985738,5.694905851134923e-31,0.0
GRM7,-3.285541392752238,6.414469171823499e-31,0.0
COL4A2,3.013096593435474,7.28882566731764e-31,0.0
NDUFB2,1.4744889893374147,8.294251198983513e-31,0.0
EFHD2,3.8474662303438394,1.0493384609422624e-30,0.0
ID2,1.8158179745887812,1.0635571592248911e-30,0.0
CHST11,-2.700884965975218,1.199096043653663e-30,0.0
TMEM130,-5.453818833871176,1.2321322776184001e-30,0.0
MGAT3,-2.7954693316565007,1.719071233546832e-30,0.0
GRID2,-2.3265367612350203,1.747196937215946e-30,0.0
CTSB,2.36016987569994,1.918952612032091e-30,0.0
NTM,-1.6938682677400936,1.9403263272202597e-30,0.0
PDE4B,-1.8830092137075964,1.96204173887303e-30,0.0
RAB33A,-4.959824799402379,2.059163025751353e-30,0.0
RPS12,1.840938568442432,2.1422499099804146e-30,0.0
GSTK1,1.9408238227788075,2.334165505995448e-30,0.0
YKT6,1.6587864936531873,2.859158375426258e-30,0.0
PPP1R14B,1.96904281909409,3.482766143979911e-30,0.0
ALDH1A3,-4.722793013612092,3.8105512237107115e-30,0.0
PRNP,-1.3982178372039287,6.1013916738103264e-30,0.0
SERPINH1,3.40219040956425,6.680825534317102e-30,0.0
SYPL1,1.992582818296177,6.850067411299689e-30,0.0
PHYHIPL,-1.878136549824471,7.552311455699249e-30,0.0
CD82,-2.2291387113088326,8.574502825542043e-30,0.0
CSF1,2.6006905308721997,9.075092676477961e-30,0.0
RPL12,1.87361869108813,9.630362702649761e-30,0.0
GRID1,-3.2324652898760338,1.0092176162938668e-29,0.0
SNX3,1.5319846829555412,1.0173790220084962e-29,0.0
TIMP4,-3.3155945887367837,1.1492319020108896e-29,0.0
MTPN,1.5459628773126919,1.1669650117356836e-29,0.0
MYL6,1.5730466482672354,1.3518396924632985e-29,0.0
VAMP2,-1.6506532733912107,1.352540959240341e-29,0.0
XIST,1.3287814245678682,1.5290125422802447e-29,0.0
ANK3,-2.4457021444595353,1.5779345046218626e-29,0.0
GADD45B,2.1650056044880848,1.622215952552386e-29,0.0
MYC,4.076174830389331,1.8992914098285926e-29,0.0
ELAVL3,-1.6619054923718124,1.9834263743152925e-29,0.0
RGS11,-3.174246482595495,2.0987726676909473e-29,0.0
DHCR24,-2.966354103633189,2.2935099692642801e-29,0.0
SYNE1,-2.1518050519035476,2.3493820221263235e-29,0.0
INAFM1,3.4419445668076714,2.502179607702056e-29,0.0
RPS14,1.260124754570836,2.509750319179572e-29,0.0
TMEM132B,-3.172979167334734,2.5272068320943584e-29,0.0
WASL,1.4136378290576226,2.613967926730818e-29,0.0
PLPPR5,-3.18238118888059,2.8061951165126595e-29,0.0
WEE1,3.566571593705944,3.0253221119554567e-29,0.0
TSPYL2,-3.1070601647484843,3.2744283645208213e-29,0.0
GPRC5B,-1.4064851172363808,3.276919517883e-29,0.0
NES,2.0204874410016305,4.4672080236983353e-29,0.0
CHST8,-4.98443529145796,4.5358589455428377e-29,0.0
TXN,1.8934252410945855,4.5863766868603405e-29,0.0
BLVRB,2.4093379054216606,4.829457132158133e-29,0.0
FDFT1,-1.9207341354791576,5.464264106975209e-29,0.0
UNC80,-2.1745921282430127,6.146304864485316e-29,0.0
LRRN1,-2.2764308469892116,7.785960810443734e-29,0.0
IFRD1,1.6903514762921998,8.03479072462293e-29,0.0
PCDHGC3,-1.836278069868294,9.458812473807725e-29,0.0
ADGRA1,-3.0297483801690475,1.0099878267670426e-28,0.0
DNAJC6,-3.5506197392522933,1.04235447111593e-28,0.0
TUBA1B,1.824946378507828,1.138333499400763e-28,0.0
CACNA1A,-1.3618026567284138,1.241252863565569e-28,0.0
FGF12,-2.828224698098706,1.2717552671059543e-28,0.0
SERINC5,-2.8944447218527762,1.4196956552362034e-28,0.0
PLA2G5,3.5248793255658146,1.4290187158932912e-28,0.0
RPS28,1.5043383600787694,1.8181961612076327e-28,0.0
SRPX,3.7286896276595405,2.0738447578139097e-28,0.0
SNAP91,-3.800433453635356,2.2300081704277753e-28,0.0
FAM3C,1.939366723117233,2.9394919724145945e-28,0.0
NPNT,4.187815790657837,3.055690063641098e-28,0.0
SAMD9L,3.8114617327570315,3.7175995854154454e-28,0.0
CNTNAP2,-4.179595877439628,3.9144163070570836e-28,0.0
CAV1,4.202173232716484,4.058232858786727e-28,0.0
SLC4A2,2.1170682820019695,4.160802837014182e-28,0.0
